run_id,date,sha,job_name,duration_seconds,total_duration,cache_hit
23666519789,2026-03-27,ac6a910,bundle_results,32,445,unknown
23666519789,2026-03-27,ac6a910,publish_for_sparc_iac,0,445,unknown
23639438912,2026-03-27,21f01d0,dependency_audit,21,396,unknown
23639438912,2026-03-27,21f01d0,importmap_audit,20,396,unknown
23639438912,2026-03-27,21f01d0,secrets_scan,59,396,unknown
23639438912,2026-03-27,21f01d0,sbom_generation,34,396,unknown
23639438912,2026-03-27,21f01d0,trivy_fs_scan,99,396,unknown
23639438912,2026-03-27,21f01d0,brakeman_scan,73,396,unknown
23639438912,2026-03-27,21f01d0,trivy_container_scan,229,396,unknown
23639438912,2026-03-27,21f01d0,codeql_scan,138,396,unknown
23639438912,2026-03-27,21f01d0,semgrep_scan,0,396,unknown
23639438912,2026-03-27,21f01d0,normalize_hdf,131,396,unknown
23639438912,2026-03-27,21f01d0,bundle_results,24,396,unknown
23639438912,2026-03-27,21f01d0,publish_for_sparc_iac,0,396,unknown
23639406571,2026-03-27,7cdf6d7,secrets_scan,57,393,unknown
23639406571,2026-03-27,7cdf6d7,trivy_container_scan,223,393,unknown
23639406571,2026-03-27,7cdf6d7,sbom_generation,39,393,unknown
23639406571,2026-03-27,7cdf6d7,codeql_scan,146,393,unknown
23639406571,2026-03-27,7cdf6d7,dependency_audit,11,393,unknown
23639406571,2026-03-27,7cdf6d7,importmap_audit,15,393,unknown
23639406571,2026-03-27,7cdf6d7,brakeman_scan,69,393,unknown
23639406571,2026-03-27,7cdf6d7,trivy_fs_scan,93,393,unknown
23639406571,2026-03-27,7cdf6d7,semgrep_scan,0,393,unknown
23639406571,2026-03-27,7cdf6d7,normalize_hdf,126,393,unknown
23639406571,2026-03-27,7cdf6d7,bundle_results,33,393,unknown
23639406571,2026-03-27,7cdf6d7,publish_for_sparc_iac,0,393,unknown
23618202038,2026-03-26,663d3f1,brakeman_scan,70,653,unknown
23618202038,2026-03-26,663d3f1,importmap_audit,14,653,unknown
23618202038,2026-03-26,663d3f1,secrets_scan,60,653,unknown
23618202038,2026-03-26,663d3f1,dependency_audit,18,653,unknown
23618202038,2026-03-26,663d3f1,sbom_generation,33,653,unknown
23618202038,2026-03-26,663d3f1,trivy_container_scan,230,653,unknown
23618202038,2026-03-26,663d3f1,trivy_fs_scan,100,653,unknown
23618202038,2026-03-26,663d3f1,codeql_scan,442,653,unknown
23618202038,2026-03-26,663d3f1,semgrep_scan,0,653,unknown
23618202038,2026-03-26,663d3f1,normalize_hdf,151,653,unknown
23618202038,2026-03-26,663d3f1,bundle_results,35,653,unknown
23618202038,2026-03-26,663d3f1,publish_for_sparc_iac,8,653,unknown
23617355178,2026-03-26,e19b0bb,codeql_scan,149,440,unknown
23617355178,2026-03-26,e19b0bb,sbom_generation,26,440,unknown
23617355178,2026-03-26,e19b0bb,trivy_container_scan,236,440,unknown
23617355178,2026-03-26,e19b0bb,secrets_scan,55,440,unknown
23617355178,2026-03-26,e19b0bb,trivy_fs_scan,98,440,unknown
23617355178,2026-03-26,e19b0bb,dependency_audit,13,440,unknown
23617355178,2026-03-26,e19b0bb,brakeman_scan,66,440,unknown
23617355178,2026-03-26,e19b0bb,importmap_audit,16,440,unknown
23617355178,2026-03-26,e19b0bb,semgrep_scan,0,440,unknown
23617355178,2026-03-26,e19b0bb,normalize_hdf,158,440,unknown
23617355178,2026-03-26,e19b0bb,bundle_results,33,440,unknown
23617355178,2026-03-26,e19b0bb,publish_for_sparc_iac,0,440,unknown
23617058775,2026-03-26,a01da93,importmap_audit,14,350,unknown
23617058775,2026-03-26,a01da93,dependency_audit,15,350,unknown
23617058775,2026-03-26,a01da93,secrets_scan,61,350,unknown
23617058775,2026-03-26,a01da93,brakeman_scan,68,350,unknown
23617058775,2026-03-26,a01da93,codeql_scan,154,350,unknown
23617058775,2026-03-26,a01da93,trivy_fs_scan,51,350,unknown
23617058775,2026-03-26,a01da93,trivy_container_scan,164,350,unknown
23617058775,2026-03-26,a01da93,sbom_generation,29,350,unknown
23617058775,2026-03-26,a01da93,semgrep_scan,0,350,unknown
23617058775,2026-03-26,a01da93,normalize_hdf,136,350,unknown
23617058775,2026-03-26,a01da93,bundle_results,32,350,unknown
23617058775,2026-03-26,a01da93,publish_for_sparc_iac,0,350,unknown
23599270239,2026-03-26,c3b9d17,trivy_fs_scan,100,408,unknown
23599270239,2026-03-26,c3b9d17,sbom_generation,37,408,unknown
23599270239,2026-03-26,c3b9d17,brakeman_scan,79,408,unknown
23599270239,2026-03-26,c3b9d17,dependency_audit,18,408,unknown
23599270239,2026-03-26,c3b9d17,importmap_audit,21,408,unknown
23599270239,2026-03-26,c3b9d17,codeql_scan,140,408,unknown
23599270239,2026-03-26,c3b9d17,secrets_scan,55,408,unknown
23599270239,2026-03-26,c3b9d17,trivy_container_scan,229,408,unknown
23599270239,2026-03-26,c3b9d17,semgrep_scan,0,408,unknown
23599270239,2026-03-26,c3b9d17,normalize_hdf,133,408,unknown
23599270239,2026-03-26,c3b9d17,bundle_results,33,408,unknown
23599270239,2026-03-26,c3b9d17,publish_for_sparc_iac,0,408,unknown
23599170118,2026-03-26,7a7ed13,codeql_scan,465,662,unknown
23599170118,2026-03-26,7a7ed13,brakeman_scan,75,662,unknown
23599170118,2026-03-26,7a7ed13,sbom_generation,43,662,unknown
23599170118,2026-03-26,7a7ed13,secrets_scan,56,662,unknown
23599170118,2026-03-26,7a7ed13,trivy_container_scan,226,662,unknown
23599170118,2026-03-26,7a7ed13,dependency_audit,25,662,unknown
23599170118,2026-03-26,7a7ed13,importmap_audit,20,662,unknown
23599170118,2026-03-26,7a7ed13,trivy_fs_scan,99,662,unknown
23599170118,2026-03-26,7a7ed13,semgrep_scan,0,662,unknown
23599170118,2026-03-26,7a7ed13,normalize_hdf,148,662,unknown
23599170118,2026-03-26,7a7ed13,bundle_results,18,662,unknown
23599170118,2026-03-26,7a7ed13,publish_for_sparc_iac,11,662,unknown
23597905687,2026-03-26,dafe1ee,trivy_container_scan,227,437,unknown
23597905687,2026-03-26,dafe1ee,sbom_generation,26,437,unknown
23597905687,2026-03-26,dafe1ee,dependency_audit,12,437,unknown
23597905687,2026-03-26,dafe1ee,importmap_audit,12,437,unknown
23597905687,2026-03-26,dafe1ee,brakeman_scan,73,437,unknown
23597905687,2026-03-26,dafe1ee,trivy_fs_scan,93,437,unknown
23597905687,2026-03-26,dafe1ee,codeql_scan,150,437,unknown
23597905687,2026-03-26,dafe1ee,secrets_scan,57,437,unknown
23597905687,2026-03-26,dafe1ee,semgrep_scan,0,437,unknown
23597905687,2026-03-26,dafe1ee,normalize_hdf,161,437,unknown
23597905687,2026-03-26,dafe1ee,bundle_results,35,437,unknown
23597905687,2026-03-26,dafe1ee,publish_for_sparc_iac,0,437,unknown
23597883148,2026-03-26,59da642,dependency_audit,16,653,unknown
23597883148,2026-03-26,59da642,codeql_scan,460,653,unknown
23597883148,2026-03-26,59da642,importmap_audit,16,653,unknown
23597883148,2026-03-26,59da642,trivy_fs_scan,98,653,unknown
23597883148,2026-03-26,59da642,secrets_scan,60,653,unknown
23597883148,2026-03-26,59da642,brakeman_scan,73,653,unknown
23597883148,2026-03-26,59da642,trivy_container_scan,233,653,unknown
23597883148,2026-03-26,59da642,sbom_generation,22,653,unknown
23597883148,2026-03-26,59da642,semgrep_scan,0,653,unknown
23597883148,2026-03-26,59da642,normalize_hdf,142,653,unknown
23597883148,2026-03-26,59da642,bundle_results,20,653,unknown
23597883148,2026-03-26,59da642,publish_for_sparc_iac,13,653,unknown
23597541192,2026-03-26,79c4217,trivy_fs_scan,91,383,unknown
23597541192,2026-03-26,79c4217,codeql_scan,152,383,unknown
23597541192,2026-03-26,79c4217,secrets_scan,54,383,unknown
23597541192,2026-03-26,79c4217,trivy_container_scan,216,383,unknown
23597541192,2026-03-26,79c4217,sbom_generation,24,383,unknown
23597541192,2026-03-26,79c4217,importmap_audit,14,383,unknown
23597541192,2026-03-26,79c4217,brakeman_scan,67,383,unknown
23597541192,2026-03-26,79c4217,dependency_audit,17,383,unknown
23597541192,2026-03-26,79c4217,semgrep_scan,0,383,unknown
23597541192,2026-03-26,79c4217,normalize_hdf,130,383,unknown
23597541192,2026-03-26,79c4217,bundle_results,24,383,unknown
23597541192,2026-03-26,79c4217,publish_for_sparc_iac,0,383,unknown
23596769295,2026-03-26,ea473e5,brakeman_scan,77,422,unknown
23596769295,2026-03-26,ea473e5,trivy_fs_scan,92,422,unknown
23596769295,2026-03-26,ea473e5,importmap_audit,19,422,unknown
23596769295,2026-03-26,ea473e5,trivy_container_scan,237,422,unknown
23596769295,2026-03-26,ea473e5,codeql_scan,152,422,unknown
23596769295,2026-03-26,ea473e5,sbom_generation,44,422,unknown
23596769295,2026-03-26,ea473e5,secrets_scan,55,422,unknown
23596769295,2026-03-26,ea473e5,dependency_audit,18,422,unknown
23596769295,2026-03-26,ea473e5,semgrep_scan,0,422,unknown
23596769295,2026-03-26,ea473e5,normalize_hdf,147,422,unknown
23596769295,2026-03-26,ea473e5,bundle_results,25,422,unknown
23596769295,2026-03-26,ea473e5,publish_for_sparc_iac,0,422,unknown
23596707226,2026-03-26,a0da956,brakeman_scan,72,413,unknown
23596707226,2026-03-26,a0da956,importmap_audit,24,413,unknown
23596707226,2026-03-26,a0da956,trivy_fs_scan,99,413,unknown
23596707226,2026-03-26,a0da956,codeql_scan,140,413,unknown
